TYP; REGELSET; DATEI; PFAD; INFO
VERALTET; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (824); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (825); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (828); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (829); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (830); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (831); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (832); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (833); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (834); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (835); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (836); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (837); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (838); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (839); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (840); Kein Element gefunden in 'Englisch Alt'.
